VOLTAGE,MEAN,STD
750,691.5,31.84860018
730,406.5,18.85912688
710,265,8.286535263
690,180.25,7.088723439
685,184.75,4.645786622
680,165.5,7.85281266
675,152.25,5.6199051
670,157.75,7.228416147
665,166.25,35.35887442
660,157.25,13.22560648
657,150.5,8.426149773
655,144,19.33907961
652,147.5,8.266397845
650,145.5,6.658328118
645,134,21.08712087
640,123.5,19.70617501
637,116.75,4.924428901
635,129,5.944184833
630,105.5,7.047458171
610,63.5,9.88264472
590,29.5,6.244997998
550,4,1.414213562
