EventID,Coincidence,HitTop,HitMiddle,HitBottom,Decay,DecayTime_ns
175,NONE,0,0,0,False,-1
176,NONE,0,0,0,False,-1
177,NONE,0,0,0,False,-1
178,NONE,0,0,0,False,-1
179,SINGLE,0,0,1,False,-1
180,NONE,0,0,0,False,-1
181,NONE,0,0,0,False,-1
182,NONE,0,0,0,False,-1
183,DOUBLE,1,1,0,False,-1
184,NONE,0,0,0,False,-1
185,NONE,0,0,0,False,-1
186,NONE,0,0,0,False,-1
187,DOUBLE,1,1,0,False,-1
188,NONE,0,0,0,False,-1
189,SINGLE,0,0,1,False,-1
190,NONE,0,0,0,False,-1
191,NONE,0,0,0,False,-1
192,DOUBLE,1,1,0,False,-1
193,NONE,0,0,0,False,-1
194,NONE,0,0,0,False,-1
195,NONE,0,0,0,False,-1
196,DOUBLE,1,1,0,False,-1
197,NONE,0,0,0,False,-1
198,NONE,0,0,0,False,-1
199,NONE,0,0,0,False,-1
200,DOUBLE,1,1,0,False,-1
201,SINGLE,0,0,1,False,-1
202,DOUBLE,1,1,0,False,-1
203,SINGLE,1,0,0,False,-1
204,SINGLE,0,1,0,False,-1
205,NONE,0,0,0,False,-1
206,NONE,0,0,0,False,-1
207,NONE,0,0,0,False,-1
208,DOUBLE,1,1,0,False,-1
209,NONE,0,0,0,False,-1
210,NONE,0,0,0,False,-1
211,NONE,0,0,0,False,-1
212,NONE,0,0,0,False,-1
213,NONE,0,0,0,False,-1
214,NONE,0,0,0,False,-1
215,DOUBLE,1,1,0,False,-1
216,NONE,0,0,0,False,-1
217,TRIPLE,1,1,1,False,-1
218,NONE,0,0,0,False,-1
219,SINGLE,0,1,0,False,-1
220,NONE,0,0,0,False,-1
221,DOUBLE,1,1,0,False,-1
222,NONE,0,0,0,False,-1
223,DOUBLE,1,1,0,False,-1
224,NONE,0,0,0,False,-1
225,SINGLE,0,0,1,False,-1
226,SINGLE,0,0,1,False,-1
227,DOUBLE,1,1,0,False,-1
228,NONE,0,0,0,False,-1
229,NONE,0,0,0,False,-1
230,SINGLE,0,1,0,False,-1
231,NONE,0,0,0,False,-1
232,NONE,0,0,0,False,-1
233,NONE,0,0,0,False,-1
234,NONE,0,0,0,False,-1
235,SINGLE,0,0,1,False,-1
236,NONE,0,0,0,False,-1
237,DOUBLE,1,1,0,False,-1
238,DOUBLE,1,1,0,False,-1
239,DOUBLE,1,1,0,False,-1
240,NONE,0,0,0,False,-1
241,NONE,0,0,0,False,-1
242,SINGLE,1,0,0,False,-1
243,NONE,0,0,0,False,-1
244,DOUBLE,1,1,0,False,-1
245,SINGLE,0,1,0,False,-1
246,DOUBLE,1,1,0,False,-1
247,DOUBLE,1,1,0,False,-1
248,DOUBLE,1,1,0,False,-1
249,NONE,0,0,0,False,-1
250,DOUBLE,1,1,0,False,-1
251,NONE,0,0,0,False,-1
252,NONE,0,0,0,False,-1
253,SINGLE,1,0,0,False,-1
254,NONE,0,0,0,False,-1
255,NONE,0,0,0,False,-1
256,NONE,0,0,0,False,-1
257,NONE,0,0,0,False,-1
258,NONE,0,0,0,False,-1
259,NONE,0,0,0,False,-1
260,DOUBLE,1,1,0,False,-1
261,NONE,0,0,0,False,-1
262,NONE,0,0,0,False,-1
263,SINGLE,0,1,0,False,-1
264,SINGLE,0,0,1,False,-1
265,NONE,0,0,0,False,-1
266,DOUBLE,1,1,0,False,-1
267,SINGLE,0,0,1,False,-1
268,DOUBLE,1,1,0,False,-1
269,SINGLE,0,0,1,False,-1
270,SINGLE,1,0,0,False,-1
271,NONE,0,0,0,False,-1
272,NONE,0,0,0,False,-1
273,NONE,0,0,0,False,-1
274,DOUBLE,1,1,0,False,-1
275,DOUBLE,1,1,0,False,-1
276,DOUBLE,1,1,0,False,-1
277,DOUBLE,1,1,0,False,-1
278,NONE,0,0,0,False,-1
279,NONE,0,0,0,False,-1
280,SINGLE,0,1,0,False,-1
281,NONE,0,0,0,False,-1
282,NONE,0,0,0,False,-1
283,NONE,0,0,0,False,-1
284,NONE,0,0,0,False,-1
285,NONE,0,0,0,False,-1
286,DOUBLE,1,0,1,False,-1
287,DOUBLE,1,1,0,False,-1
288,SINGLE,0,0,1,False,-1
289,SINGLE,0,0,1,False,-1
290,DOUBLE,1,1,0,False,-1
291,NONE,0,0,0,False,-1
292,NONE,0,0,0,False,-1
293,SINGLE,0,0,1,False,-1
294,NONE,0,0,0,False,-1
295,NONE,0,0,0,False,-1
296,DOUBLE,1,1,0,False,-1
297,DOUBLE,1,1,0,False,-1
298,NONE,0,0,0,False,-1
299,NONE,0,0,0,False,-1
300,NONE,0,0,0,False,-1
301,SINGLE,0,0,1,False,-1
302,NONE,0,0,0,False,-1
303,NONE,0,0,0,False,-1
304,DOUBLE,1,1,0,False,-1
305,NONE,0,0,0,False,-1
306,NONE,0,0,0,False,-1
307,NONE,0,0,0,False,-1
308,NONE,0,0,0,False,-1
309,DOUBLE,1,1,0,False,-1
310,DOUBLE,1,1,0,False,-1
311,NONE,0,0,0,False,-1
312,SINGLE,0,0,1,False,-1
313,NONE,0,0,0,False,-1
314,NONE,0,0,0,False,-1
315,SINGLE,0,0,1,False,-1
316,NONE,0,0,0,False,-1
317,SINGLE,0,0,1,False,-1
318,DOUBLE,1,0,1,False,-1
319,DOUBLE,1,1,0,False,-1
320,NONE,0,0,0,False,-1
321,NONE,0,0,0,False,-1
322,NONE,0,0,0,False,-1
