EventID,Coincidence,HitTop,HitMiddle,HitBottom,Decay,DecayTime_ns
174,NONE,0,0,0,False,-1
175,NONE,0,0,0,False,-1
176,NONE,0,0,0,False,-1
177,SINGLE,0,0,1,False,-1
178,SINGLE,1,0,0,False,-1
179,SINGLE,1,0,0,False,-1
180,DOUBLE,1,1,0,False,-1
181,DOUBLE,1,1,0,False,-1
182,NONE,0,0,0,False,-1
183,NONE,0,0,0,False,-1
184,NONE,0,0,0,False,-1
185,SINGLE,0,0,1,False,-1
186,SINGLE,0,0,1,False,-1
187,SINGLE,0,1,0,False,-1
188,NONE,0,0,0,False,-1
189,SINGLE,0,1,0,False,-1
190,NONE,0,0,0,False,-1
191,NONE,0,0,0,False,-1
192,NONE,0,0,0,False,-1
193,SINGLE,0,1,0,False,-1
194,NONE,0,0,0,False,-1
195,NONE,0,0,0,False,-1
196,NONE,0,0,0,False,-1
197,DOUBLE,1,1,0,False,-1
198,SINGLE,0,0,1,False,-1
199,NONE,0,0,0,False,-1
200,SINGLE,0,0,1,False,-1
201,NONE,0,0,0,False,-1
202,SINGLE,0,0,1,False,-1
203,SINGLE,0,0,1,False,-1
204,DOUBLE,1,1,0,False,-1
205,SINGLE,0,1,0,False,-1
206,SINGLE,0,1,0,False,-1
207,NONE,0,0,0,False,-1
208,NONE,0,0,0,False,-1
209,SINGLE,1,0,0,False,-1
210,DOUBLE,1,0,1,False,-1
211,DOUBLE,1,0,1,False,-1
212,NONE,0,0,0,False,-1
213,NONE,0,0,0,False,-1
214,DOUBLE,1,1,0,False,-1
215,SINGLE,0,1,0,False,-1
216,DOUBLE,1,1,0,False,-1
217,SINGLE,1,0,0,False,-1
218,NONE,0,0,0,False,-1
219,NONE,0,0,0,False,-1
220,NONE,0,0,0,False,-1
221,SINGLE,0,1,0,False,-1
222,SINGLE,1,0,0,False,-1
223,NONE,0,0,0,False,-1
224,NONE,0,0,0,False,-1
225,NONE,0,0,0,False,-1
226,DOUBLE,1,1,0,False,-1
227,SINGLE,0,0,1,False,-1
228,NONE,0,0,0,False,-1
229,SINGLE,1,0,0,False,-1
230,DOUBLE,1,0,1,False,-1
231,NONE,0,0,0,False,-1
232,DOUBLE,1,1,0,False,-1
233,NONE,0,0,0,False,-1
234,NONE,0,0,0,False,-1
235,DOUBLE,1,1,0,False,-1
236,NONE,0,0,0,False,-1
237,SINGLE,1,0,0,False,-1
238,NONE,0,0,0,False,-1
239,DOUBLE,1,1,0,False,-1
240,NONE,0,0,0,False,-1
241,DOUBLE,1,1,0,False,-1
242,NONE,0,0,0,False,-1
243,SINGLE,1,0,0,False,-1
244,NONE,0,0,0,False,-1
245,SINGLE,0,0,1,False,-1
246,NONE,0,0,0,False,-1
247,NONE,0,0,0,False,-1
248,NONE,0,0,0,False,-1
249,NONE,0,0,0,False,-1
250,NONE,0,0,0,False,-1
251,DOUBLE,1,1,0,False,-1
252,SINGLE,0,0,1,False,-1
253,NONE,0,0,0,False,-1
254,DOUBLE,1,1,0,False,-1
255,NONE,0,0,0,False,-1
256,DOUBLE,1,1,0,False,-1
257,NONE,0,0,0,False,-1
258,SINGLE,0,1,0,False,-1
259,NONE,0,0,0,False,-1
260,NONE,0,0,0,False,-1
261,SINGLE,0,1,0,False,-1
262,NONE,0,0,0,False,-1
263,SINGLE,0,0,1,False,-1
264,SINGLE,0,0,1,False,-1
265,SINGLE,0,0,1,False,-1
266,NONE,0,0,0,False,-1
267,NONE,0,0,0,False,-1
268,DOUBLE,1,1,0,False,-1
269,NONE,0,0,0,False,-1
270,DOUBLE,1,1,0,False,-1
271,SINGLE,0,0,1,False,-1
272,NONE,0,0,0,False,-1
273,SINGLE,0,1,0,False,-1
274,SINGLE,0,0,1,False,-1
275,NONE,0,0,0,False,-1
276,NONE,0,0,0,False,-1
277,NONE,0,0,0,False,-1
278,NONE,0,0,0,False,-1
279,NONE,0,0,0,False,-1
280,DOUBLE,1,1,0,False,-1
281,SINGLE,1,0,0,False,-1
282,SINGLE,0,1,0,False,-1
283,SINGLE,1,0,0,False,-1
284,NONE,0,0,0,False,-1
285,SINGLE,0,0,1,False,-1
286,SINGLE,0,1,0,False,-1
287,SINGLE,0,1,0,False,-1
288,SINGLE,1,0,0,False,-1
289,NONE,0,0,0,False,-1
290,SINGLE,1,0,0,False,-1
291,SINGLE,0,1,0,False,-1
292,NONE,0,0,0,False,-1
293,SINGLE,0,1,0,False,-1
294,NONE,0,0,0,False,-1
295,NONE,0,0,0,False,-1
296,DOUBLE,1,1,0,False,-1
297,SINGLE,1,0,0,False,-1
298,NONE,0,0,0,False,-1
299,NONE,0,0,0,False,-1
300,NONE,0,0,0,False,-1
301,NONE,0,0,0,False,-1
302,SINGLE,0,0,1,False,-1
303,NONE,0,0,0,False,-1
304,SINGLE,1,0,0,False,-1
305,NONE,0,0,0,False,-1
306,SINGLE,0,1,0,False,-1
307,NONE,0,0,0,False,-1
308,NONE,0,0,0,False,-1
309,DOUBLE,1,1,0,False,-1
310,NONE,0,0,0,False,-1
311,SINGLE,1,0,0,False,-1
312,SINGLE,0,0,1,False,-1
313,NONE,0,0,0,False,-1
314,NONE,0,0,0,False,-1
315,NONE,0,0,0,False,-1
316,NONE,0,0,0,False,-1
317,SINGLE,0,0,1,False,-1
318,NONE,0,0,0,False,-1
319,DOUBLE,1,1,0,True,4153.59
320,DOUBLE,0,1,1,False,-1
321,SINGLE,0,0,1,False,-1
322,NONE,0,0,0,False,-1
323,NONE,0,0,0,False,-1
324,DOUBLE,1,1,0,False,-1
325,SINGLE,0,0,1,False,-1
326,DOUBLE,1,1,0,False,-1
327,SINGLE,1,0,0,False,-1
328,NONE,0,0,0,False,-1
329,DOUBLE,1,1,0,False,-1
330,NONE,0,0,0,False,-1
331,SINGLE,0,0,1,False,-1
332,DOUBLE,1,1,0,False,-1
333,NONE,0,0,0,False,-1
334,NONE,0,0,0,False,-1
335,NONE,0,0,0,False,-1
336,SINGLE,0,0,1,False,-1
337,DOUBLE,1,0,1,False,-1
338,DOUBLE,1,0,1,False,-1
339,DOUBLE,1,1,0,False,-1
340,SINGLE,0,1,0,False,-1
341,DOUBLE,1,1,0,False,-1
342,NONE,0,0,0,False,-1
343,DOUBLE,1,1,0,False,-1
344,DOUBLE,1,1,0,False,-1
345,SINGLE,0,0,1,False,-1
346,NONE,0,0,0,False,-1
347,NONE,0,0,0,False,-1
348,NONE,0,0,0,False,-1
349,SINGLE,0,1,0,False,-1
350,NONE,0,0,0,False,-1
351,SINGLE,1,0,0,False,-1
352,NONE,0,0,0,False,-1
353,SINGLE,1,0,0,False,-1
354,NONE,0,0,0,False,-1
355,DOUBLE,1,1,0,False,-1
356,NONE,0,0,0,False,-1
357,DOUBLE,1,1,0,False,-1
358,SINGLE,0,0,1,False,-1
359,NONE,0,0,0,False,-1
360,NONE,0,0,0,False,-1
361,NONE,0,0,0,False,-1
362,SINGLE,1,0,0,False,-1
363,NONE,0,0,0,False,-1
364,SINGLE,1,0,0,False,-1
365,NONE,0,0,0,False,-1
366,DOUBLE,1,1,0,False,-1
367,NONE,0,0,0,False,-1
368,NONE,0,0,0,False,-1
369,NONE,0,0,0,False,-1
370,SINGLE,0,0,1,False,-1
371,DOUBLE,1,1,0,True,2501.1
372,DOUBLE,1,1,0,False,-1
373,DOUBLE,1,1,0,False,-1
374,NONE,0,0,0,False,-1
375,NONE,0,0,0,False,-1
376,DOUBLE,1,1,0,False,-1
377,NONE,0,0,0,False,-1
378,NONE,0,0,0,False,-1
379,NONE,0,0,0,False,-1
380,NONE,0,0,0,False,-1
381,NONE,0,0,0,False,-1
382,NONE,0,0,0,False,-1
383,SINGLE,0,0,1,False,-1
384,NONE,0,0,0,False,-1
385,NONE,0,0,0,False,-1
386,SINGLE,1,0,0,False,-1
387,NONE,0,0,0,False,-1
388,SINGLE,0,0,1,False,-1
389,NONE,0,0,0,False,-1
390,NONE,0,0,0,False,-1
391,NONE,0,0,0,False,-1
392,NONE,0,0,0,False,-1
393,NONE,0,0,0,False,-1
394,SINGLE,0,1,0,False,-1
395,NONE,0,0,0,False,-1
396,DOUBLE,1,1,0,False,-1
397,NONE,0,0,0,False,-1
398,NONE,0,0,0,False,-1
399,NONE,0,0,0,False,-1
400,SINGLE,1,0,0,False,-1
401,NONE,0,0,0,False,-1
402,SINGLE,0,1,0,False,-1
403,NONE,0,0,0,False,-1
404,SINGLE,0,0,1,False,-1
405,DOUBLE,1,0,1,False,-1
406,NONE,0,0,0,False,-1
407,SINGLE,0,1,0,False,-1
408,SINGLE,0,0,1,False,-1
409,NONE,0,0,0,False,-1
410,SINGLE,0,1,0,False,-1
411,NONE,0,0,0,False,-1
412,SINGLE,0,0,1,False,-1
413,DOUBLE,1,1,0,False,-1
414,NONE,0,0,0,False,-1
415,NONE,0,0,0,False,-1
416,NONE,0,0,0,False,-1
417,DOUBLE,1,1,0,False,-1
418,NONE,0,0,0,False,-1
419,SINGLE,1,0,0,False,-1
420,NONE,0,0,0,False,-1
421,NONE,0,0,0,False,-1
422,SINGLE,0,1,0,False,-1
423,NONE,0,0,0,False,-1
424,DOUBLE,1,1,0,False,-1
425,NONE,0,0,0,False,-1
426,NONE,0,0,0,False,-1
427,SINGLE,0,1,0,False,-1
428,NONE,0,0,0,False,-1
429,NONE,0,0,0,False,-1
430,SINGLE,1,0,0,False,-1
431,NONE,0,0,0,False,-1
432,NONE,0,0,0,False,-1
433,SINGLE,1,0,0,False,-1
434,NONE,0,0,0,False,-1
435,SINGLE,0,0,1,False,-1
436,NONE,0,0,0,False,-1
437,NONE,0,0,0,False,-1
438,NONE,0,0,0,False,-1
439,DOUBLE,1,1,0,False,-1
440,SINGLE,0,1,0,False,-1
441,NONE,0,0,0,False,-1
442,SINGLE,0,1,0,False,-1
443,DOUBLE,1,1,0,False,-1
444,NONE,0,0,0,False,-1
445,NONE,0,0,0,False,-1
446,TRIPLE,1,1,1,False,-1
447,SINGLE,1,0,0,False,-1
448,DOUBLE,1,1,0,False,-1
