1.0544e-05,1
7.18e-06,0
1.0956e-05,1
9.46e-06,1
6.928e-06,1
1.3192e-05,0
7.14e-06,0
7.488e-06,0
1.032e-05,0
9.384e-06,1
1.0132e-05,1
1.2624e-05,0
8.24e-06,0
1.278e-05,1
1.2728e-05,1
6.552e-06,0
9.56e-06,0
6.872e-06,0
1.2864e-05,1
1.1292e-05,0
6.984e-06,0
1.2408e-05,1
1.2876e-05,1
7.252e-06,1
1.3024e-05,0
1.1808e-05,1
6.372e-06,0
1.0888e-05,1
1.2752e-05,0
1.0468e-05,0
7.604e-06,1
7.168e-06,0
6.968e-06,1
8.288e-06,1
7.984e-06,0
1.0932e-05,1
7.712e-06,0
7.528e-06,0
1.3468e-05,1
1.2152e-05,1
7.868e-06,1
8.216e-06,0
9.612e-06,1
9.348e-06,1
9.536e-06,0
1.182e-05,1
8.592e-06,1
8.58e-06,1
8.152e-06,1
1.2156e-05,0
1.1416e-05,1
1.0536e-05,0
6.56e-06,1
1.0372e-05,1
7.304e-06,0
7.596e-06,1
1.3592e-05,1
1.2736e-05,1
8.172e-06,0
8.468e-06,1
8.98e-06,1
7.352e-06,0
9.392e-06,1
1.3084e-05,0
1.2328e-05,0
7.136e-06,0
9.416e-06,0
1.2908e-05,0
6.52e-06,0
6.656e-06,0
1.078e-05,1
8.84e-06,1
1.2056e-05,0
1.1132e-05,0
7.164e-06,0
1.3104e-05,1
1.172e-05,0
6.62e-06,0
8.972e-06,1
1.1304e-05,1
7.18e-06,0
6.508e-06,1
8.1e-06,0
8.924e-06,1
9.996e-06,1
7.74e-06,1
1.3116e-05,0
1.1108e-05,1
1.0804e-05,1
1.0844e-05,1
1.1984e-05,0
7.14e-06,0
1.2252e-05,1
8.324e-06,1
1.3136e-05,1
1.062e-05,1
1.2764e-05,0
1.2704e-05,1
7.7e-06,0
6.78e-06,1
7.984e-06,0
8.14e-06,0
1.1972e-05,0
1.0032e-05,0
7.708e-06,1
8.876e-06,0
1.0472e-05,1
7.672e-06,1
1.0372e-05,1
1.2576e-05,0
8.872e-06,0
9.22e-06,1
1.0564e-05,1
8.884e-06,0
7.052e-06,0
9.896e-06,0
1.1376e-05,1
1.0352e-05,0
9.112e-06,0
7.956e-06,0
8.432e-06,0
6.588e-06,0
7.232e-06,0
7.088e-06,0
7.056e-06,1
1.1824e-05,1
6.852e-06,0
1.0564e-05,0
7.58e-06,1
1.3292e-05,0
6.496e-06,0
1.0524e-05,1
1.06e-05,0
7.592e-06,0
1.2248e-05,0
9.14e-06,1
7.108e-06,0
1.278e-05,0
7.032e-06,1
7.872e-06,0
7.612e-06,1
1.228e-05,0
7.248e-06,1
7.54e-06,1
1.196e-05,1
1.2744e-05,1
1.0956e-05,0
1.1088e-05,1
1.2372e-05,0
8.92e-06,1
8.964e-06,0
9.472e-06,1
1.1164e-05,0
1.0628e-05,0
6.744e-06,0
7.148e-06,0
9.192e-06,1
7.044e-06,0
1.1068e-05,1
8.348e-06,0
6.66e-06,1
1.3204e-05,0
6.548e-06,0
7.928e-06,1
7.8e-06,0
7.576e-06,0
8.764e-06,0
1.2988e-05,0
7.276e-06,1
1.0904e-05,1
9.456e-06,0
6.832e-06,1
7.18e-06,0
7.94e-06,0
8.528e-06,0
8.552e-06,0
9.176e-06,1
9.516e-06,0
1.206e-05,1
6.836e-06,1
8.752e-06,1
7.452e-06,1
7.756e-06,0
8.604e-06,1
1.0324e-05,0
6.684e-06,0
1.3428e-05,0
7.244e-06,0
8.004e-06,0
1.1884e-05,0
6.908e-06,1
1.0432e-05,1
1.1836e-05,1
6.976e-06,0
7.58e-06,0
1.1492e-05,0
9.664e-06,1
1.3288e-05,0
6.636e-06,1
6.336e-06,0
1.2016e-05,1
7.376e-06,0
8.596e-06,1
9.528e-06,0
6.412e-06,1
9.672e-06,0
6.856e-06,0
6.552e-06,1
6.572e-06,1
7.884e-06,0
6.536e-06,1
1.0776e-05,0
1.1692e-05,1
8.208e-06,0
6.62e-06,0
1.1052e-05,1
1.3216e-05,0
1.2488e-05,0
7.132e-06,0
7.468e-06,1
1.0772e-05,0
7.324e-06,1
1.1512e-05,1
6.464e-06,0
7.368e-06,1
1.2988e-05,0
1.3368e-05,0
6.948e-06,0
8.692e-06,0
8.996e-06,1
1.2028e-05,0
1.0064e-05,0
1.1236e-05,0
7.784e-06,0
6.396e-06,0
8.224e-06,1
1.252e-05,1
6.54e-06,1
8.212e-06,0
7.004e-06,0
8.48e-06,0
6.728e-06,1
1.0928e-05,1
1.2624e-05,0
1.2264e-05,0
8.68e-06,0
7.616e-06,1
6.356e-06,0
7.232e-06,1
1.0604e-05,1
1.3512e-05,0
7.036e-06,0
7.548e-06,0
6.336e-06,0
7.368e-06,0
6.424e-06,1
9.292e-06,1
7.368e-06,1
9.676e-06,0
1.24e-05,1
9.08e-06,0
7.116e-06,1
9.552e-06,0
6.78e-06,0
8.752e-06,0
1.0216e-05,1
1.1252e-05,0
1.2384e-05,1
7.28e-06,0
1.2076e-05,1
7.932e-06,1
7.392e-06,1
9.892e-06,1
9.828e-06,0
1.2128e-05,0
1.0468e-05,0
6.332e-06,0
6.324e-06,0
1.2004e-05,1
1.3436e-05,0
