EventID,Coincidence,PartenopeHit,MinervaHit,GiunoneHit,Decay,DecayTime_ns
159,SINGLE,1,0,0,False,-1
160,TRIPLE,1,1,1,False,-1
161,TRIPLE,1,1,1,False,-1
162,DOUBLE,1,1,0,False,-1
163,TRIPLE,1,1,1,False,-1
164,DOUBLE,1,1,0,False,-1
165,TRIPLE,1,1,1,False,-1
166,DOUBLE,1,1,0,False,-1
167,SINGLE,1,0,0,False,-1
168,DOUBLE,1,1,0,False,-1
169,TRIPLE,1,1,1,False,-1
170,TRIPLE,1,1,1,False,-1
171,TRIPLE,1,1,1,False,-1
172,TRIPLE,1,1,1,False,-1
173,TRIPLE,1,1,1,False,-1
174,TRIPLE,1,1,1,False,-1
175,TRIPLE,1,1,1,False,-1
176,DOUBLE,1,1,0,False,-1
177,TRIPLE,1,1,1,False,-1
178,SINGLE,1,0,0,False,-1
179,TRIPLE,1,1,1,False,-1
180,TRIPLE,1,1,1,False,-1
181,SINGLE,1,0,0,False,-1
182,SINGLE,1,0,0,False,-1
183,DOUBLE,1,1,0,False,-1
184,TRIPLE,1,1,1,False,-1
185,DOUBLE,1,1,0,False,-1
186,TRIPLE,1,1,1,False,-1
187,SINGLE,1,0,0,False,-1
188,TRIPLE,1,1,1,False,-1
189,DOUBLE,1,1,0,False,-1
190,TRIPLE,1,1,1,False,-1
191,TRIPLE,1,1,1,False,-1
192,DOUBLE,1,1,0,False,-1
193,SINGLE,1,0,0,False,-1
194,DOUBLE,1,1,0,False,-1
195,SINGLE,1,0,0,False,-1
196,DOUBLE,1,1,0,False,-1
197,DOUBLE,1,1,0,False,-1
198,DOUBLE,1,1,0,False,-1
199,SINGLE,1,0,0,False,-1
200,SINGLE,1,0,0,False,-1
201,DOUBLE,1,1,0,False,-1
202,TRIPLE,1,1,1,False,-1
203,DOUBLE,1,1,0,False,-1
204,DOUBLE,1,1,0,False,-1
205,DOUBLE,1,1,0,False,-1
206,TRIPLE,1,1,1,False,-1
207,TRIPLE,1,1,1,False,-1
208,TRIPLE,1,1,1,False,-1
209,DOUBLE,1,1,0,False,-1
210,DOUBLE,1,1,0,False,-1
211,TRIPLE,1,1,1,False,-1
212,TRIPLE,1,1,1,False,-1
213,DOUBLE,1,1,0,False,-1
214,DOUBLE,1,1,0,False,-1
215,TRIPLE,1,1,1,False,-1
216,DOUBLE,1,1,0,False,-1
217,TRIPLE,1,1,1,False,-1
218,TRIPLE,1,1,1,False,-1
219,DOUBLE,1,1,0,False,-1
220,TRIPLE,1,1,1,False,-1
221,DOUBLE,1,1,0,False,-1
222,TRIPLE,1,1,1,False,-1
223,DOUBLE,1,1,0,False,-1
224,TRIPLE,1,1,1,False,-1
225,TRIPLE,1,1,1,False,-1
226,SINGLE,1,0,0,False,-1
227,TRIPLE,1,1,1,False,-1
228,DOUBLE,1,1,0,False,-1
229,DOUBLE,1,1,0,False,-1
230,TRIPLE,1,1,1,False,-1
231,SINGLE,1,0,0,False,-1
232,DOUBLE,1,1,0,False,-1
233,TRIPLE,1,1,1,False,-1
234,TRIPLE,1,1,1,False,-1
235,TRIPLE,1,1,1,False,-1
236,TRIPLE,1,1,1,False,-1
237,DOUBLE,1,1,0,False,-1
238,TRIPLE,1,1,1,False,-1
239,DOUBLE,1,1,0,False,-1
240,SINGLE,1,0,0,False,-1
241,DOUBLE,1,1,0,False,-1
242,TRIPLE,1,1,1,False,-1
243,TRIPLE,1,1,1,False,-1
244,TRIPLE,1,1,1,False,-1
245,TRIPLE,1,1,1,False,-1
246,SINGLE,1,0,0,False,-1
247,TRIPLE,1,1,1,False,-1
248,DOUBLE,1,1,0,False,-1
249,DOUBLE,1,1,0,False,-1
250,TRIPLE,1,1,1,False,-1
251,TRIPLE,1,1,1,False,-1
252,SINGLE,1,0,0,False,-1
253,TRIPLE,1,1,1,False,-1
254,TRIPLE,1,1,1,False,-1
255,TRIPLE,1,1,1,False,-1
256,TRIPLE,1,1,1,False,-1
257,TRIPLE,1,1,1,False,-1
258,TRIPLE,1,1,1,False,-1
259,SINGLE,1,0,0,False,-1
260,TRIPLE,1,1,1,False,-1
261,TRIPLE,1,1,1,False,-1
262,SINGLE,1,0,0,False,-1
263,TRIPLE,1,1,1,False,-1
264,TRIPLE,1,1,1,False,-1
265,TRIPLE,1,1,1,False,-1
266,SINGLE,1,0,0,False,-1
267,DOUBLE,1,1,0,False,-1
268,TRIPLE,1,1,1,False,-1
269,TRIPLE,1,1,1,False,-1
270,TRIPLE,1,1,1,False,-1
271,SINGLE,1,0,0,False,-1
272,TRIPLE,1,1,1,False,-1
273,TRIPLE,1,1,1,False,-1
274,TRIPLE,1,1,1,False,-1
275,TRIPLE,1,1,1,False,-1
276,TRIPLE,1,1,1,False,-1
277,TRIPLE,1,1,1,False,-1
278,DOUBLE,1,1,0,False,-1
279,TRIPLE,1,1,1,False,-1
280,DOUBLE,1,1,0,False,-1
281,TRIPLE,1,1,1,False,-1
282,TRIPLE,1,1,1,False,-1
283,TRIPLE,1,1,1,False,-1
284,TRIPLE,1,1,1,False,-1
285,DOUBLE,1,1,0,False,-1
286,TRIPLE,1,1,1,False,-1
287,DOUBLE,1,1,0,False,-1
288,TRIPLE,1,1,1,False,-1
289,TRIPLE,1,1,1,False,-1
290,DOUBLE,1,1,0,False,-1
291,SINGLE,1,0,0,False,-1
292,TRIPLE,1,1,1,False,-1
293,TRIPLE,1,1,1,False,-1
294,TRIPLE,1,1,1,False,-1
295,TRIPLE,1,1,1,False,-1
296,SINGLE,1,0,0,False,-1
297,DOUBLE,1,1,0,False,-1
298,TRIPLE,1,1,1,False,-1
299,SINGLE,1,0,0,False,-1
300,SINGLE,1,0,0,False,-1
301,SINGLE,1,0,0,False,-1
302,DOUBLE,1,1,0,False,-1
303,SINGLE,1,0,0,False,-1
304,DOUBLE,1,1,0,False,-1
305,TRIPLE,1,1,1,False,-1
306,DOUBLE,1,1,0,False,-1
307,TRIPLE,1,1,1,False,-1
308,TRIPLE,1,1,1,False,-1
309,TRIPLE,1,1,1,False,-1
310,DOUBLE,1,1,0,False,-1
311,TRIPLE,1,1,1,False,-1
312,TRIPLE,1,1,1,False,-1
313,DOUBLE,1,1,0,False,-1
314,DOUBLE,1,1,0,False,-1
315,DOUBLE,1,1,0,False,-1
