p_t	p_c	g_t	g_c	coincidenze	tempo_misura_min thr_p thr_g
728 1897 875 7955 1467 3 83 22
728 1942 875 5599 1451 3 83 35
728 1944 875 4826 1388 3 83 45
728 1967 875 3765 1282 3 83 55
728 1981 875 2940 1169 3 83 62
728 1921 875 2154 995 3 83 69
728 1903 875 1693 853 3 83 76
728 1952 875 1293 712 3 83 83
728 1834 875 454 289 3 83 118
728 1849 875 353 223 3 83 125
728 1967 875 323 209 3 83 132
728 1990 875 292 180 3 83 139
728 1889 875 207 122 3 83 146
